joint,raw_rmse_deg,settled_rmse_deg,rmse_start_time_s,num_total_samples,num_rmse_samples
shoulder_pan,2.542024529142083,2.241091093937845,3.0,4248,4161
shoulder_lift,1.3014075197798198,1.2168823009250238,3.0,4248,4161
elbow_flex,2.8899664103502456,2.0756863406841277,3.0,4248,4161
wrist_flex,3.097257870277494,0.796068634496541,3.0,4248,4161
wrist_roll,3.5380674046500005,0.3816187541305544,3.0,4248,4161
