stamp,frame,ik_ok,ik_error_m,target_x,target_y,target_z,actual_ee_x,actual_ee_y,actual_ee_z,target_shoulder_pan_rad,actual_shoulder_pan_rad,target_shoulder_lift_rad,actual_shoulder_lift_rad,target_elbow_flex_rad,actual_elbow_flex_rad,target_wrist_flex_rad,actual_wrist_flex_rad,target_wrist_roll_rad,actual_wrist_roll_rad,target_gripper_rad,actual_gripper_rad
1782019003.5684025,0,1,1.4037640209756063e-07,0.18,0.0,0.13470588235294118,0.20860471678676187,0.12235511338193841,0.12354671049896576,-0.0001404403828852446,-0.5876581129791897,-1.4246442581510874,-1.6701458380622662,0.7753390459563527,1.6755160819145565,1.375998893215483,0.08055365778435367,0.0012047391550493757,-1.4783514147661858,0.0,0.07751952262287029
1782019003.5887196,1,1,5.936940921538637e-05,0.18,1.458399010241918e-06,0.1347653323885074,0.20860471678676187,0.12235511338193841,0.12354671049896576,-0.0001404403828852446,-0.5876581129791897,-1.4246442581510874,-1.6701458380622662,0.7753390459563527,1.6755160819145565,1.375998893215483,0.08055365778435367,0.0012047391550493757,-1.4783514147661858,0.0,0.07751952262287029
1782019003.629367,2,1,1.4410016840079035e-05,0.18,1.1649929437829385e-05,0.1349429891188504,0.2086981306304544,0.12202297658344642,0.12203310908602724,-0.0002135546348117058,-0.586123757592821,-1.425167874603886,-1.6655427719031601,0.7745635340355757,1.6709130157554504,1.3760008515464655,0.0928285008753028,0.0012005986194874934,-1.4660765716752369,0.0,0.07181955772412982
1782019003.6561832,3,1,2.0346645454543442e-05,0.18,3.922157548604358e-05,0.13523678067339548,0.21192356282431557,0.11683022443349181,0.11726525087369345,-0.0003947341571711816,-0.5569710052518169,-1.4258732280363606,-1.640993085721262,0.773552433647859,1.6540351065053955,1.3760723070429663,0.12504996398904428,0.001190458057029642,-1.4353894639478642,0.0,0.05585965600765653
1782019003.6915574,4,1,2.8353781472749804e-05,0.18,9.264880009687977e-05,0.1356432813518373,0.21864408324080786,0.10438240803648152,0.1101713835685632,-0.0007502088653798295,-0.4894593682515966,-1.4268489045863118,-1.5734814487210418,0.7721557643439194,1.595729601823387,1.3761715825827983,0.19869902253473906,0.0011705635270101236,-1.363274760788538,0.0,0.03647977535193896
1782019003.7248013,5,1,3.645929908647275e-05,0.18,0.00018015171036642137,0.13615775236326277,0.2268735266235699,0.08626815053703807,0.11198425210721864,-0.0013389285112419577,-0.39432933429674083,-1.4280890572518414,-1.516710299425402,0.7703837050882338,1.500599567868531,1.3762981584905019,0.2953634118759635,0.0011376169968950157,-1.2635416606745762,0.0,0.02849982449370231
1782019003.7582483,6,1,4.4370330262722346e-05,0.18,0.0003096135150373797,0.13677419809295957,0.23270775951584688,0.06489349711489328,0.1173757406147791,-0.002216923163194228,-0.2884588126373046,-1.4295767131406654,-1.47374834860708,0.7682591805454765,1.3839885585045146,1.3764429171354446,0.4242492643309293,0.0010884771593841118,-1.1361901636059788,0.0,0.02621983853420613
1782019003.7917922,7,1,5.2034481839811354e-05,0.18,0.0004885020063135433,0.13748543714227515,0.2342940403845371,0.043998718883487,0.12642277932249657,-0.003437290318910069,-0.1887257125233429,-1.4312900419834,-1.4538017285842877,0.7658106500760589,1.2643088383677605,1.3765929431432982,0.5608068937177384,0.0010201639033611321,-0.9965638234464326,0.0,0.02507984555445803
1782019003.826734,8,1,5.9464764184039045e-05,0.18,0.0007237947713632435,0.13828318719009136,0.23015027308533836,0.028866941138937265,0.1393120710798052,-0.005049720692608161,-0.11967972013675401,-1.4332035874850142,-1.444595596266076,0.7630709748933944,1.1246824982082142,1.3767334039060466,0.7188454985137085,0.0009298863743426347,-0.8400595740368312,0.0,0.02393985257470994
1782019003.863046,9,1,6.670498040675924e-05,0.18,0.001021908805732097,0.1391581625414053,0.22073679542708668,0.020554572792190674,0.14792216117653373,-0.007099997518283368,-0.08592390163664392,-1.4352888234064063,-1.4491986624251818,0.7600767851139215,1.001934067298723,1.3768483831907221,0.8860902356278904,0.0008150716533009235,-0.6712804815362806,0.0,0.02279985959496185
